"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USS0005H02S","CROW CREEK, WY US","2023-01-01","27","31","22","22"
"USS0005H02S","CROW CREEK, WY US","2023-01-02","19","23","17","18"
"USS0005H02S","CROW CREEK, WY US","2023-01-03","20","23","17","18"
"USS0005H02S","CROW CREEK, WY US","2023-01-04","19","22","16","20"
"USS0005H02S","CROW CREEK, WY US","2023-01-05","30","38","19","33"
"USS0005H02S","CROW CREEK, WY US","2023-01-06","31","34","27","27"
"USS0005H02S","CROW CREEK, WY US","2023-01-07","28","32","23","25"
"USS0005H02S","CROW CREEK, WY US","2023-01-08","33","40","25","29"
"USS0005H02S","CROW CREEK, WY US","2023-01-09","33","38","28","35"
"USS0005H02S","CROW CREEK, WY US","2023-01-10","35","40","30","31"
"USS0005H02S","CROW CREEK, WY US","2023-01-11","28","33","21","23"
"USS0005H02S","CROW CREEK, WY US","2023-01-12","27","33","21","29"
"USS0005H02S","CROW CREEK, WY US","2023-01-13","38","45","29","42"
"USS0005H02S","CROW CREEK, WY US","2023-01-14","39","43","32","35"
"USS0005H02S","CROW CREEK, WY US","2023-01-15","32","36","26","27"
"USS0005H02S","CROW CREEK, WY US","2023-01-16","28","34","21","25"
"USS0005H02S","CROW CREEK, WY US","2023-01-17","26","35","20","20"
"USS0005H02S","CROW CREEK, WY US","2023-01-18","19","23","14","15"
"USS0005H02S","CROW CREEK, WY US","2023-01-19","21","27","14","14"
"USS0005H02S","CROW CREEK, WY US","2023-01-20","16","24","10","10"
"USS0005H02S","CROW CREEK, WY US","2023-01-21","18","21","9","19"
"USS0005H02S","CROW CREEK, WY US","2023-01-22","21","31","15","19"
"USS0005H02S","CROW CREEK, WY US","2023-01-23","20","22","15","15"
"USS0005H02S","CROW CREEK, WY US","2023-01-24","16","23","6","14"
"USS0005H02S","CROW CREEK, WY US","2023-01-25","15","20","13","15"
"USS0005H02S","CROW CREEK, WY US","2023-01-26","18","22","12","21"
"USS0005H02S","CROW CREEK, WY US","2023-01-27","24","29","21","21"
"USS0005H02S","CROW CREEK, WY US","2023-01-28","15","27","0","2"
"USS0005H02S","CROW CREEK, WY US","2023-01-29","-4","14","-14","-9"
"USS0005H02S","CROW CREEK, WY US","2023-01-30","5","15","-9","1"
"USS0005H02S","CROW CREEK, WY US","2023-01-31","11","19","-3","17"
"USS0005H02S","CROW CREEK, WY US","2023-02-01","22","27","16","22"
"USS0005H02S","CROW CREEK, WY US","2023-02-02","27","35","21","29"
"USS0005H02S","CROW CREEK, WY US","2023-02-03","34","40","26","33"
"USS0005H02S","CROW CREEK, WY US","2023-02-04","33","38","28","34"
"USS0005H02S","CROW CREEK, WY US","2023-02-05","36","46","26","26"
"USS0005H02S","CROW CREEK, WY US","2023-02-06","23","27","18","20"
"USS0005H02S","CROW CREEK, WY US","2023-02-07","25","34","19","25"
"USS0005H02S","CROW CREEK, WY US","2023-02-08","25","33","15","16"
"USS0005H02S","CROW CREEK, WY US","2023-02-09","15","19","9","11"
"USS0005H02S","CROW CREEK, WY US","2023-02-10","28","38","11","35"
"USS0005H02S","CROW CREEK, WY US","2023-02-11","40","49","31","37"
"USS0005H02S","CROW CREEK, WY US","2023-02-12","35","40","33","34"
"USS0005H02S","CROW CREEK, WY US","2023-02-13","36","45","30","31"
"USS0005H02S","CROW CREEK, WY US","2023-02-14","21","32","11","11"
"USS0005H02S","CROW CREEK, WY US","2023-02-15","4","11","0","6"
"USS0005H02S","CROW CREEK, WY US","2023-02-16","13","21","3","18"
"USS0005H02S","CROW CREEK, WY US","2023-02-17","29","38","18","30"
"USS0005H02S","CROW CREEK, WY US","2023-02-18","31","38","24","25"
"USS0005H02S","CROW CREEK, WY US","2023-02-19","25","29","21","27"
"USS0005H02S","CROW CREEK, WY US","2023-02-20","31","35","27","31"
"USS0005H02S","CROW CREEK, WY US","2023-02-21","32","41","9","9"
"USS0005H02S","CROW CREEK, WY US","2023-02-22",,"9","-18","-4"
"USS0005H02S","CROW CREEK, WY US","2023-02-23","13","24","-4","17"
"USS0005H02S","CROW CREEK, WY US","2023-02-24","22","28","15","24"
"USS0005H02S","CROW CREEK, WY US","2023-02-25","33","40","23","37"
"USS0005H02S","CROW CREEK, WY US","2023-02-26","37","49","27","28"
"USS0005H02S","CROW CREEK, WY US","2023-02-27","27","33","22","22"
"USS0005H02S","CROW CREEK, WY US","2023-02-28","21","31","13","15"
"USS0005H02S","CROW CREEK, WY US","2023-03-01","19","25","10","22"
"USS0005H02S","CROW CREEK, WY US","2023-03-02","26","33","20","23"
"USS0005H02S","CROW CREEK, WY US","2023-03-03","24","33","14","15"
"USS0005H02S","CROW CREEK, WY US","2023-03-04","22","33","12","26"
"USS0005H02S","CROW CREEK, WY US","2023-03-05","25","35","18","21"
"USS0005H02S","CROW CREEK, WY US","2023-03-06","23","30","13","21"
"USS0005H02S","CROW CREEK, WY US","2023-03-07","22","31","14","19"
"USS0005H02S","CROW CREEK, WY US","2023-03-08","22","24","19","21"
"USS0005H02S","CROW CREEK, WY US","2023-03-09","26","33","20","23"
"USS0005H02S","CROW CREEK, WY US","2023-03-10","37","44","22","31"
"USS0005H02S","CROW CREEK, WY US","2023-03-11","27","35","13","13"
"USS0005H02S","CROW CREEK, WY US","2023-03-12","24","35","11","20"
"USS0005H02S","CROW CREEK, WY US","2023-03-13","33","43","17","32"
"USS0005H02S","CROW CREEK, WY US","2023-03-14","38","44","32","40"
